Release	Date	Taxons	Nucleotides	Amino Acids	Records
1	Jun 30, 2003	2005	4672871949	263588685	1061675
2	Oct 21, 2003	2124	7745398573	286957682	1097404
3	Jan 13, 2004	2218	7992741222	294647847	1101244
4	Mar 24, 2004	2358	8175128887	318253841	1193457
5	May  3, 2004	2395    8325515623	337229387	1255613
6	July 5, 2004	2467	8696371716	365446682	1367206
7	Sep 10, 2004	2558	21072808460	405233619	1579579
8	Oct 31, 2004	2645	26814386658	430300369	1709723
9	Jan  9, 2005	2780	36786975473	470534907	1843944
10	Mar  6, 2005	2827	36893741150	482862858	1893478
11	May  8, 2005	2928	39731702362	507980644	2477893
12	Jul 10, 2005	2969	43043256058	608493108	2869675
13	Sep 11, 2005	3060	44727484853	686768902	3400773
14	Nov 20, 2005	3198	47364955367	763761075	3272776
15	Jan 1, 2006	3244	52645441913	810009733	3436263
16	Mar 11, 2006	3397	56175443059	887509001	3715260 
17	May 1, 2006	3497	62130037371	927587669	3999859 
18	July 11, 2006	3695	70474041999	974374765	4186692
19	Sep 10, 2006	3774	70694879544	1012985077	4311543
20	Nov 5, 2006	3919	72679681505	1061797276	4567569
21	Jan 6, 2007	4079	73864990566	1144795927	4742335
22	Mar 5, 2007	4187	82441128546	1215085694	5207865
23	May 8, 2007	4300	83148327110	1291050995	5503385
24	July 10, 2007	4511	89856995521	1365916222	6073814
25	Sep 11, 2007	4646	91265840843	1470475398	6515132 
26	Nov 4, 2007	4737	99105705485	1495032507 	6698250 
27	Jan 6, 2008	4926    101059552113	1556356987	7025715
28	Mar 9, 2008	5059	102051350525	1770627427	7914560
29	May 4, 2008	5168	104671101150	1870214220	8376141
30	July 7,2008	5395	105074486709	1913447691	8572852 
31	Aug 30, 2008	5513	109214348591	2026768719	9145702 
32	Nov 10, 2008	5726	111122203221	2089596746	9501764
33	Jan 16, 2009	7773	116001583818	2204073443	10325282
34	Mar 6, 2009	8054	111792574830	2299682138	10021870
35	May 4, 2009	8393	113210655336	2565199170	10993891
36	July 2, 2009	8665	117013741530	2756884219	12141825
37	Sept 3, 2009	9005	119151229820	2965450333	12941750
38	Nov 7, 2009	9166	119196622435	3115246540	13436447
39	Jan 23, 2010	10171	118502856500	3221054793	13656433
40	Mar 7, 2010	10291	118645985035	3280528951	13853798
41	May 9, 2010	10567	125500880884	3427514220	14472060
42	July 13, 2010	10728	143311839055	3553178673	15038858
43	Sep 5, 2010	10854	148706971456	3761205880	15934055
44	Nov 7, 2010	11354	152241490865	3899827321	16421261
45	Jan 7, 2011	11536	152787094873	3989526325	16748646
46	Mar 8, 2011	11734	153220856222	4064052954	16998463
47	May 7, 2011	12000	162001966044	4226432170	17631876
48	July 10, 2011	12235	163771272903	4381572480	18162534
49	Sep 7, 2011	16248	162286146420	4401462131	18236994
50	Nov 8, 2011	16392	168702162406	4529303978	18815153
51	Jan 9, 2012	16609	172751347778	4727472575	19580946
52	Mar 5, 2012	16923	173705194347	4929467422	20235247
53	May 7, 2012	17339	175345433862	5247723883	21286080
54	July 9, 2012	17605	176492228688	5456992181	21889466
55	Sep 17, 2012	17994	194971374545	5803694332	23207572
56	Nov 8, 2012	18512	207200464965	6003283860	23892460
57	Jan 8, 2013	21415	227639108990	8895153979	34158511
58	Mar 11,2013 	22460	233247214400	9699076220	36938203
59	Apr 29, 2013	24656	256547643663	10081118607	39040745
60	Jul 19, 2013	28560	304686151670	10968281809	40913699
61	Sep 9, 2013	29414	319551394177	11248966865	41958567
62	Nov 10, 2013	31646	361097812819	12364402476	45971929
63	Jan 12, 2014	33485	380736496721	12898823816	48358066
64	Mar 10, 2014	33693	407131829420	13126329523	49538213
65	May 12, 2014 	36335	430613954268	13544443640	51770174
66	July 7, 2014	41263	464958653006	15380643722	58334707
