Release	Date	Taxons	Nucleotides	Amino Acids	Records
1	30-Jun-03	2005	4672871949	263588685	1061675
2	21-Oct-03	2124	7745398573	286957682	1097404
3	13-Jan-04	2218	7992741222	294647847	1101244
4	24-Mar-04	2358	8175128887	318253841	1193457
5	03-May-04	2395	8325515623	337229387	1255613
6	05-Jul-04	2467	8696371716	365446682	1367206
7	10-Sep-04	2558	21072808460	405233619	1579579
8	31-Oct-04	2645	26814386658	430300369	1709723
9	09-Jan-05	2780	36786975473	470534907	1843944
10	06-Mar-05	2827	36893741150	482862858	1893478
11	08-May-05	2928	39731702362	507980644	2477893
12	10-Jul-05	2969	43043256058	608493108	2869675
13	11-Sep-05	3060	44727484853	686768902	3400773
14	20-Nov-05	3198	47364955367	763761075	3272776
15	01-Jan-06	3244	52645441913	810009733	3436263
16	11-Mar-06	3397	56175443059	887509001	3715260
17	01-May-06	3497	62130037371	927587669	3999859
18	11-Jul-06	3695	70474041999	974374765	4186692
19	10-Sep-06	3774	70694879544	1012985077	4311543
20	05-Nov-06	3919	72679681505	1061797276	4567569
21	06-Jan-07	4079	73864990566	1144795927	4742335
22	05-Mar-07	4187	82441128546	1215085694	5207865
23	08-May-07	4300	83148327110	1291050995	5503385
24	10-Jul-07	4511	89856995521	1365916222	6073814
25	11-Sep-07	4646	91265840843	1470475398	6515132
26	04-Nov-07	4737	99105705485	1495032507	6698250
27	06-Jan-08	4926	1.01E+11	1556356987	7025715
28	09-Mar-08	5059	1.02E+11	1770627427	7914560
29	04-May-08	5168	1.05E+11	1870214220	8376141
30	07-Jul-08	5395	1.05E+11	1913447691	8572852
31	30-Aug-08	5513	1.09E+11	2026768719	9145702
32	10-Nov-08	5726	1.11E+11	2089596746	9501764
33	16-Jan-09	7773	1.16E+11	2204073443	10325282
34	06-Mar-09	8054	1.12E+11	2299682138	10021870
35	04-May-09	8393	1.13E+11	2565199170	10993891
36	02-Jul-09	8665	1.17E+11	2756884219	12141825
37	03-Sep-09	9005	1.19E+11	2965450333	12941750
38	07-Nov-09	9166	1.19E+11	3115246540	13436447
39	23-Jan-10	10171	1.19E+11	3221054793	13656433
40	07-Mar-10	10291	1.19E+11	3280528951	13853798
41	09-May-10	10567	1.26E+11	3427514220	14472060
42	13-Jul-10	10728	1.43E+11	3553178673	15038858
43	05-Sep-10	10854	1.49E+11	3761205880	15934055
44	07-Nov-10	11354	1.52E+11	3899827321	16421261
45	07-Jan-11	11536	1.53E+11	3989526325	16748646
46	08-Mar-11	11734	1.53E+11	4064052954	16998463
47	07-May-11	12000	1.62E+11	4226432170	17631876
48	10-Jul-11	12235	1.64E+11	4381572480	18162534
49	07-Sep-11	16248	1.62E+11	4401462131	18236994
50	08-Nov-11	16392	1.69E+11	4529303978	18815153
51	09-Jan-12	16609	1.73E+11	4727472575	19580946
52	05-Mar-12	16923	1.74E+11	4929467422	20235247
53	07-May-12	17339	1.75E+11	5247723883	21286080
54	09-Jul-12	17605	1.76E+11	5456992181	21889466
55	17-Sep-12	17994	1.95E+11	5803694332	23207572
56	08-Nov-12	18512	2.07E+11	6003283860	23892460
57	08-Jan-13	21415	2.28E+11	8895153979	34158511
58	11-Mar-13	22460	2.33E+11	9699076220	36938203
59	29-Apr-13	24656	2.57E+11	10081118607	39040745
60	19-Jul-13	28560	3.05E+11	10968281809	40913699
61	09-Sep-13	29414	3.20E+11	11248966865	41958567
62	10-Nov-13	31646	3.61E+11	12364402476	45971929
63	12-Jan-14	33485	3.81E+11	12898823816	48358066
64	10-Mar-14	33693	4.07E+11	13126329523	49538213
65	12-May-14	36335	4.31E+11	13544443640	51770174
66	07-Jul-14	41263	4.65E+11	15380643722	58334707
67	08-Sep-14	41913	4.91E+11	15984799771	61277203 
68	03-Nov-14	49312	5.55E+11	16790850066	66078114
